segment_id,start_time,end_time,duration,segment_type
498,287.435,288.128,0.693,surrogacy
499,288.245,288.587,0.341,speech
500,288.693,288.875,0.181,surrogacy
501,289.152,289.195,0.043,speech
502,289.355,289.44,0.085,surrogacy
503,289.568,289.643,0.075,speech
504,289.792,289.845,0.053,surrogacy
505,290.24,290.347,0.107,speech
506,293.301,294.304,1.003,surrogacy
507,294.4,294.709,0.309,speech
508,294.816,295.029,0.213,surrogacy
509,295.264,295.307,0.043,speech
510,295.456,295.488,0.032,surrogacy
511,295.669,295.744,0.075,speech
512,295.872,295.936,0.064,surrogacy
513,296.085,296.16,0.075,speech
514,296.299,296.341,0.043,surrogacy
515,296.715,296.843,0.128,speech
516,300.075,300.779,0.704,surrogacy
517,300.864,301.899,1.035,speech
518,302.165,302.208,0.043,surrogacy
519,302.357,302.4,0.043,speech
520,302.581,302.656,0.075,surrogacy
521,302.784,302.869,0.085,speech
522,303.019,303.104,0.085,surrogacy
523,303.456,303.509,0.053,speech
524,305.973,306.165,0.192,surrogacy
525,306.283,306.741,0.459,speech
526,306.752,306.784,0.032,surrogacy
527,306.827,307.392,0.565,speech
528,307.445,307.797,0.352,surrogacy
529,307.883,308.469,0.587,speech
530,308.576,308.779,0.203,surrogacy
531,309.067,309.141,0.075,speech
532,309.269,309.344,0.075,surrogacy
533,309.493,309.525,0.032,speech
534,309.707,309.781,0.075,surrogacy
535,309.92,309.952,0.032,speech
536,310.325,310.411,0.085,surrogacy
537,310.539,310.613,0.075,speech
538,310.752,310.795,0.043,surrogacy
539,310.965,311.019,0.053,speech
540,311.424,311.541,0.117,surrogacy
541,314.4,314.613,0.213,speech
542,314.624,314.667,0.043,surrogacy
543,314.731,315.275,0.544,speech
544,315.317,315.861,0.544,surrogacy
545,316.011,317.28,1.269,speech
546,317.419,317.739,0.32,surrogacy
547,317.835,318.005,0.171,speech
548,318.315,318.411,0.096,surrogacy
549,318.539,318.581,0.043,speech
550,318.741,318.773,0.032,surrogacy
551,318.955,319.029,0.075,speech
552,319.157,319.189,0.032,surrogacy
553,319.381,319.445,0.064,speech
554,319.563,319.627,0.064,surrogacy
555,319.776,319.851,0.075,speech
556,319.979,320.043,0.064,surrogacy
557,320.171,320.245,0.075,speech
558,320.395,320.427,0.032,surrogacy
559,320.587,320.629,0.043,speech
560,320.8,320.885,0.085,surrogacy
561,321.237,321.344,0.107,speech
562,324.064,325.024,0.96,surrogacy
563,325.088,325.227,0.139,speech
564,325.333,326.773,1.44,surrogacy
565,327.008,327.083,0.075,speech
566,327.232,327.264,0.032,surrogacy
567,327.456,327.509,0.053,speech
568,327.659,327.712,0.053,surrogacy
569,327.872,327.936,0.064,speech
570,328.075,328.117,0.043,surrogacy
571,328.288,328.32,0.032,speech
572,328.491,328.565,0.075,surrogacy
573,328.704,328.736,0.032,speech
574,328.896,328.939,0.043,surrogacy
575,331.936,332.139,0.203,speech
576,332.171,332.288,0.117,surrogacy
577,332.373,332.597,0.224,speech
578,333.216,333.269,0.053,surrogacy
